epoch,seed,state,alpha
1,seed1,dormant,0.000
1,seed2,dormant,0.000
1,seed3,dormant,0.000
1,seed4,dormant,0.000
1,seed5,dormant,0.000
1,seed6,dormant,0.000
1,seed7,dormant,0.000
1,seed8,dormant,0.000
66,seed8,training,0.000
69,seed8,blending,0.533
70,seed8,active,1.000
85,seed7,training,0.000
88,seed7,blending,0.533
89,seed7,active,1.000
104,seed6,training,0.000
107,seed6,blending,0.533
108,seed6,active,1.000
123,seed5,training,0.000
126,seed5,blending,0.533
127,seed5,active,1.000
142,seed4,training,0.000
145,seed4,blending,0.533
146,seed4,active,1.000
161,seed3,training,0.000
164,seed3,blending,0.533
165,seed3,active,1.000
180,seed2,training,0.000
183,seed2,blending,0.533
184,seed2,active,1.000
199,seed1,training,0.000
202,seed1,blending,0.533
203,seed1,active,1.000
